FEI Number,Legal Name,Street Address,City,State/Province,Zip Code,Country/Area,District,Program Area,Fiscal Year,Inspection End Date,Posting Date,Classification,Observation_1,Observation_2,Observation_3
4265093,"Wockhardt Ltd","638 Industrial Blvd",Chicago,MA,87141,Ireland,Denver,Veterinary,2025,2025-09-30,2025-09-30,VAI,"Electronic records subject to 21 CFR Part 11 were not validated. User access permissions allow modification without traceable documentation.","Facility design and construction does not prevent contamination of drug product per 21 CFR 211.42(b). HVAC differential pressure monitoring records absent.",
9163948,"Sun Pharma Industries Ltd","855 Industrial Blvd",Denver,GA,50975,United Kingdom,New York/New Jersey,CBER,2022,2025-06-01,2025-06-01,NAI,,,
4468933,"Johnson & Johnson Inc","330 Industrial Blvd",Seattle,NJ,32021,Japan,San Francisco,CDRH,2025,2022-06-20,2022-06-20,VAI,"Out-of-specification (OOS) investigation procedures are inadequate. Root cause analysis incomplete for 3 of 7 OOS investigations reviewed.",,
3074563,"Abbott Laboratories","728 Industrial Blvd",Chicago,CA,28728,India,San Francisco,OTC Drugs,2022,2024-11-20,2024-11-20,NAI,,,
2715865,"Cadila Healthcare Ltd","770 Industrial Blvd",Miami,NC,75130,Ireland,Denver,CDER,2024,2025-06-25,2025-06-25,VAI,"Stability testing program does not include testing at appropriate intervals as required by 21 CFR 211.166(a).","Equipment qualification (IQ/OQ/PQ) is not performed for new manufacturing equipment prior to use.",
2497491,"Merck Sharp & Dohme Corp","441 Industrial Blvd",Dallas,NC,94830,United Kingdom,New England,Biologics,2024,2022-06-01,2022-06-01,OAI,"Batch records do not document complete reconciliation of yields at each appropriate phase of processing per 21 CFR 211.188(b)(11).","Out-of-specification (OOS) investigation procedures are inadequate. Root cause analysis incomplete for 3 of 7 OOS investigations reviewed.","Backup and disaster recovery procedures for critical computer systems have not been tested within the required frequency."
5613545,"Glenmark Pharmaceuticals Ltd","773 Industrial Blvd",Philadelphia,PA,15722,India,New England,CDRH,2022,2022-03-12,2022-03-12,VAI,"Written procedures are not followed for in-process testing and controls as required under 21 CFR 211.110(a).","Equipment qualification (IQ/OQ/PQ) is not performed for new manufacturing equipment prior to use.","Out-of-specification (OOS) investigation procedures are inadequate. Root cause analysis incomplete for 3 of 7 OOS investigations reviewed."
9730120,"Aurobindo Pharma Ltd","270 Industrial Blvd",Atlanta,OH,95932,Switzerland,Kansas City,CDRH,2022,2025-12-07,2025-12-07,NAI,,,
9905356,"Fresenius Kabi USA LLC","989 Industrial Blvd",Chicago,IN,59654,Canada,Southeast,API,2023,2023-07-28,2023-07-28,VAI,"Equipment used in the manufacture of drug products is not maintained, cleaned, and sanitized at appropriate intervals per 21 CFR 211.67(a).","Audit trail review procedures are inadequate. Changes to critical data parameters not captured with time-stamped records.",
2729814,"Novartis Pharmaceuticals Corp","743 Industrial Blvd",Philadelphia,IL,41663,United Kingdom,Los Angeles,CFSAN,2025,2024-09-30,2024-09-30,OAI,"Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls.","Audit trail review procedures are inadequate. Changes to critical data parameters not captured with time-stamped records.","Written procedures describing the quality control unit responsibilities and procedures are not followed as required by 21 CFR 211.22(d)."
5425915,"Merck Sharp & Dohme Corp","808 Industrial Blvd",Miami,PA,52395,Switzerland,Denver,CDER,2024,2026-04-26,2026-04-26,OAI,"CAPA procedures lack effectiveness checks and defined timelines for corrective action implementation.","Batch records do not document complete reconciliation of yields at each appropriate phase of processing per 21 CFR 211.188(b)(11).","Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls."
4937049,"Mylan Laboratories Ltd","608 Industrial Blvd",Miami,IN,69270,China,Southeast,API,2022,2024-09-30,2024-09-30,NAI,,,
1456842,"Fresenius Kabi USA LLC","507 Industrial Blvd",Dallas,NJ,47237,Switzerland,Denver,API,2022,2022-08-26,2022-08-26,NAI,,,
6525480,"Pfizer Manufacturing LLC","808 Industrial Blvd",Atlanta,MN,31525,Switzerland,Dallas,CDER,2022,2024-12-15,2024-12-15,VAI,"Backup and disaster recovery procedures for critical computer systems have not been tested within the required frequency.","Stability testing program does not include testing at appropriate intervals as required by 21 CFR 211.166(a).","Out-of-specification (OOS) investigation procedures are inadequate. Root cause analysis incomplete for 3 of 7 OOS investigations reviewed."
2294672,"Fresenius Kabi USA LLC","352 Industrial Blvd",Atlanta,NJ,25543,Italy,Kansas City,Medical Devices,2024,2023-08-11,2023-08-11,VAI,"Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls.","Batch records do not document complete reconciliation of yields at each appropriate phase of processing per 21 CFR 211.188(b)(11).",
3555859,"Pfizer Manufacturing LLC","432 Industrial Blvd",Denver,WI,77580,Ireland,New York/New Jersey,Animal Drugs,2023,2025-07-26,2025-07-26,VAI,"Equipment used in the manufacture of drug products is not maintained, cleaned, and sanitized at appropriate intervals per 21 CFR 211.67(a).","Written procedures are not followed for in-process testing and controls as required under 21 CFR 211.110(a).",
1195690,"Dr Reddy Laboratories Ltd","205 Industrial Blvd",San Diego,NY,55926,Switzerland,Denver,Medical Devices,2024,2024-11-13,2024-11-13,NAI,,,
8808095,"Glenmark Pharmaceuticals Ltd","354 Industrial Blvd",Miami,IL,91286,Italy,Southeast,Biologics,2022,2024-03-24,2024-03-24,VAI,"Facility design and construction does not prevent contamination of drug product per 21 CFR 211.42(b). HVAC differential pressure monitoring records absent.",,
9186657,"Dr Reddy Laboratories Ltd","250 Industrial Blvd",Miami,WI,70043,Germany,Chicago,CDER,2024,2025-12-07,2025-12-07,VAI,"Laboratory controls do not include the establishment of scientifically sound and appropriate specifications, standards, sampling plans, and test procedures under 21 CFR 211.160(b).","Equipment qualification (IQ/OQ/PQ) is not performed for new manufacturing equipment prior to use.","Computer system used for batch release decisions was not validated per 21 CFR 11.10. No validation documentation available."
8611079,"Sun Pharma Industries Ltd","995 Industrial Blvd",Newark,PA,41893,United States,Kansas City,CDER,2023,2026-04-16,2026-04-16,NAI,,,
3175149,"Lupin Ltd","223 Industrial Blvd",Chicago,GA,38918,Germany,Kansas City,API,2025,2025-12-13,2025-12-13,VAI,"Stability testing program does not include testing at appropriate intervals as required by 21 CFR 211.166(a).","Backup and disaster recovery procedures for critical computer systems have not been tested within the required frequency.",
7536455,"Wockhardt Ltd","728 Industrial Blvd",Denver,OH,68202,Italy,New England,OTC Drugs,2024,2023-06-19,2023-06-19,VAI,"Electronic records subject to 21 CFR Part 11 were not validated. User access permissions allow modification without traceable documentation.",,
7893964,"Mylan Laboratories Ltd","828 Industrial Blvd",Denver,CA,39548,India,New York/New Jersey,Veterinary,2023,2022-12-12,2022-12-12,NAI,,,
8034288,"Cipla Ltd","835 Industrial Blvd",Miami,WI,86135,Germany,Southeast,API,2024,2026-03-19,2026-03-19,NAI,,,
6798515,"Dr Reddy Laboratories Ltd","737 Industrial Blvd",Newark,NJ,24799,Germany,Minneapolis/St Paul,OTC Drugs,2023,2025-03-02,2025-03-02,NAI,,,
1962318,"Merck Sharp & Dohme Corp","607 Industrial Blvd",Miami,IN,54789,United States,Dallas,Biologics,2025,2023-11-11,2023-11-11,OAI,"Environmental monitoring program does not adequately cover all critical and controlled areas. Alert and action limits not established.","Electronic records subject to 21 CFR Part 11 were not validated. User access permissions allow modification without traceable documentation.",
6143878,"Pfizer Manufacturing LLC","526 Industrial Blvd",Chicago,NJ,50516,Switzerland,Florida/Caribbean,Drugs,2022,2024-04-18,2024-04-18,NAI,,,
3017723,"Johnson & Johnson Inc","530 Industrial Blvd",Atlanta,NJ,72157,Canada,New England,CBER,2022,2026-07-03,2026-07-03,VAI,"Written procedures are not followed for in-process testing and controls as required under 21 CFR 211.110(a).","Supplier qualification program lacks periodic re-qualification requirements. 12 of 20 critical suppliers have not been re-assessed.","Laboratory controls do not include the establishment of scientifically sound and appropriate specifications, standards, sampling plans, and test procedures under 21 CFR 211.160(b)."
2845997,"Wockhardt Ltd","870 Industrial Blvd",Dallas,NJ,56443,United Kingdom,Kansas City,CDRH,2022,2025-11-08,2025-11-08,NAI,,,
3979147,"Cadila Healthcare Ltd","943 Industrial Blvd",Newark,WI,98469,Germany,New York/New Jersey,OTC Drugs,2023,2022-05-22,2022-05-22,VAI,"Supplier qualification program lacks periodic re-qualification requirements. 12 of 20 critical suppliers have not been re-assessed.",,
4987331,"Mylan Laboratories Ltd","657 Industrial Blvd",Dallas,CA,39559,Canada,Dallas,Veterinary,2024,2025-07-15,2025-07-15,VAI,"Laboratory controls do not include the establishment of scientifically sound and appropriate specifications, standards, sampling plans, and test procedures under 21 CFR 211.160(b).","Written procedures describing the quality control unit responsibilities and procedures are not followed as required by 21 CFR 211.22(d).","Environmental monitoring program does not adequately cover all critical and controlled areas. Alert and action limits not established."
8593786,"Dr Reddy Laboratories Ltd","634 Industrial Blvd",Chicago,WI,75064,United States,New York/New Jersey,Medical Devices,2023,2026-01-02,2026-01-02,NAI,,,
9109780,"Pfizer Manufacturing LLC","443 Industrial Blvd",Chicago,OH,49399,United Kingdom,Dallas,Biologics,2023,2023-10-02,2023-10-02,VAI,"CAPA procedures lack effectiveness checks and defined timelines for corrective action implementation.",,
2634765,"Lilly USA LLC","665 Industrial Blvd",Boston,MN,91714,United States,Minneapolis/St Paul,CBER,2024,2023-12-29,2023-12-29,VAI,"Change control system does not require impact assessment for changes to validated processes or analytical methods.","CAPA procedures lack effectiveness checks and defined timelines for corrective action implementation.",
4093345,"Glenmark Pharmaceuticals Ltd","313 Industrial Blvd",Boston,IL,70319,United States,Chicago,Animal Drugs,2022,2025-12-25,2025-12-25,NAI,,,
8576176,"Glenmark Pharmaceuticals Ltd","570 Industrial Blvd",Newark,MA,64528,Canada,Southeast,Drugs,2024,2023-05-10,2023-05-10,VAI,"Out-of-specification (OOS) investigation procedures are inadequate. Root cause analysis incomplete for 3 of 7 OOS investigations reviewed.","Written procedures are not followed for in-process testing and controls as required under 21 CFR 211.110(a).","Batch records do not document complete reconciliation of yields at each appropriate phase of processing per 21 CFR 211.188(b)(11)."
4860885,"Lupin Ltd","438 Industrial Blvd",Seattle,IN,27421,China,Florida/Caribbean,Veterinary,2024,2023-08-21,2023-08-21,NAI,,,
1309372,"Abbott Laboratories","294 Industrial Blvd",Dallas,NJ,11967,United States,Dallas,CBER,2024,2023-11-25,2023-11-25,NAI,,,
2071746,"Cadila Healthcare Ltd","847 Industrial Blvd",Seattle,MA,93955,Canada,New York/New Jersey,CDRH,2025,2023-02-19,2023-02-19,VAI,"Computer system used for batch release decisions was not validated per 21 CFR 11.10. No validation documentation available.","Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls.","Audit trail review procedures are inadequate. Changes to critical data parameters not captured with time-stamped records."
7195869,"Pfizer Manufacturing LLC","543 Industrial Blvd",Atlanta,GA,24918,China,Los Angeles,Medical Devices,2023,2025-05-03,2025-05-03,NAI,,,
2358816,"Merck Sharp & Dohme Corp","747 Industrial Blvd",Chicago,NC,23986,India,Mid-Atlantic,Animal Drugs,2025,2024-08-11,2024-08-11,VAI,"Electronic records subject to 21 CFR Part 11 were not validated. User access permissions allow modification without traceable documentation.",,
6101787,"Novartis Pharmaceuticals Corp","719 Industrial Blvd",Atlanta,NJ,96565,United States,Mid-Atlantic,OTC Drugs,2025,2025-07-12,2025-07-12,NAI,,,
5412865,"Baxter Healthcare Corp","635 Industrial Blvd",Dallas,NY,16654,China,Minneapolis/St Paul,CFSAN,2024,2025-10-28,2025-10-28,NAI,,,
7551990,"Alkem Laboratories Ltd","491 Industrial Blvd",Newark,NC,51331,Germany,Minneapolis/St Paul,OTC Drugs,2022,2024-08-29,2024-08-29,VAI,"Written procedures are not followed for in-process testing and controls as required under 21 CFR 211.110(a).","Electronic records subject to 21 CFR Part 11 were not validated. User access permissions allow modification without traceable documentation.",
2488670,"Abbott Laboratories","379 Industrial Blvd",Philadelphia,NY,52991,India,Minneapolis/St Paul,Medical Devices,2023,2025-05-14,2025-05-14,NAI,,,
4374481,"Cipla Ltd","877 Industrial Blvd",Chicago,OH,22904,Switzerland,Denver,Biologics,2022,2022-10-13,2022-10-13,NAI,,,
5487014,"Novartis Pharmaceuticals Corp","858 Industrial Blvd",Chicago,OH,79473,United States,Pacific,OTC Drugs,2023,2025-06-20,2025-06-20,NAI,,,
7305030,"Dr Reddy Laboratories Ltd","661 Industrial Blvd",Seattle,MN,75824,Japan,Southeast,Animal Drugs,2022,2025-08-31,2025-08-31,VAI,"Out-of-specification (OOS) investigation procedures are inadequate. Root cause analysis incomplete for 3 of 7 OOS investigations reviewed.","Change control system does not require impact assessment for changes to validated processes or analytical methods.","Computer system used for batch release decisions was not validated per 21 CFR 11.10. No validation documentation available."
7444756,"Lilly USA LLC","363 Industrial Blvd",Boston,NY,39980,Germany,Chicago,Biologics,2022,2026-02-20,2026-02-20,NAI,,,
6388454,"Teva API India Ltd","705 Industrial Blvd",Dallas,IL,20918,India,Chicago,CDER,2023,2023-12-29,2023-12-29,NAI,,,
2198410,"Hikma Pharmaceuticals USA","769 Industrial Blvd",Philadelphia,TX,66342,United Kingdom,Kansas City,Biologics,2023,2022-01-22,2022-01-22,VAI,"Computer system used for batch release decisions was not validated per 21 CFR 11.10. No validation documentation available.","Change control system does not require impact assessment for changes to validated processes or analytical methods.",
2438574,"Glenmark Pharmaceuticals Ltd","800 Industrial Blvd",Seattle,CA,55689,United Kingdom,Southeast,Drugs,2023,2025-03-11,2025-03-11,NAI,,,
3824156,"Pfizer Manufacturing LLC","708 Industrial Blvd",Boston,TX,52277,United States,New England,Drugs,2022,2022-08-21,2022-08-21,VAI,"Facility design and construction does not prevent contamination of drug product per 21 CFR 211.42(b). HVAC differential pressure monitoring records absent.","Stability testing program does not include testing at appropriate intervals as required by 21 CFR 211.166(a).",
1932685,"Merck Sharp & Dohme Corp","484 Industrial Blvd",Dallas,MN,90424,United Kingdom,Chicago,Medical Devices,2022,2023-04-26,2023-04-26,NAI,,,
4722299,"Teva API India Ltd","157 Industrial Blvd",Seattle,IL,66829,Italy,San Francisco,Biologics,2025,2024-10-21,2024-10-21,NAI,,,
9408197,"Lilly USA LLC","552 Industrial Blvd",Philadelphia,GA,76716,United States,Denver,Animal Drugs,2024,2024-09-25,2024-09-25,OAI,"CAPA procedures lack effectiveness checks and defined timelines for corrective action implementation.","Out-of-specification (OOS) investigation procedures are inadequate. Root cause analysis incomplete for 3 of 7 OOS investigations reviewed.","Batch records do not document complete reconciliation of yields at each appropriate phase of processing per 21 CFR 211.188(b)(11)."
3848046,"Fresenius Kabi USA LLC","401 Industrial Blvd",Boston,PA,56322,Switzerland,Denver,Biologics,2023,2024-05-28,2024-05-28,VAI,"Facility design and construction does not prevent contamination of drug product per 21 CFR 211.42(b). HVAC differential pressure monitoring records absent.","Equipment used in the manufacture of drug products is not maintained, cleaned, and sanitized at appropriate intervals per 21 CFR 211.67(a).",
9922313,"Wockhardt Ltd","293 Industrial Blvd",Newark,WI,25302,Switzerland,Florida/Caribbean,OTC Drugs,2024,2025-06-24,2025-06-24,VAI,"Batch records do not document complete reconciliation of yields at each appropriate phase of processing per 21 CFR 211.188(b)(11).",,
6930640,"Cipla Ltd","682 Industrial Blvd",Dallas,IN,70906,Japan,Southeast,CDER,2023,2023-02-08,2023-02-08,VAI,"Calibration records for critical analytical instruments are incomplete. 4 instruments found with expired calibration certificates.","Laboratory controls do not include the establishment of scientifically sound and appropriate specifications, standards, sampling plans, and test procedures under 21 CFR 211.160(b).",
9609166,"Alkem Laboratories Ltd","683 Industrial Blvd",Seattle,MA,50790,United States,Pacific,OTC Drugs,2022,2025-03-04,2025-03-04,VAI,"Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls.","Change control system does not require impact assessment for changes to validated processes or analytical methods.","Supplier qualification program lacks periodic re-qualification requirements. 12 of 20 critical suppliers have not been re-assessed."
2092806,"Pfizer Manufacturing LLC","210 Industrial Blvd",San Diego,WI,51401,Japan,Dallas,Animal Drugs,2025,2022-12-08,2022-12-08,VAI,"Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls.","Written procedures are not followed for in-process testing and controls as required under 21 CFR 211.110(a).",
5166032,"Dr Reddy Laboratories Ltd","971 Industrial Blvd",Chicago,IN,17555,United States,San Francisco,CDRH,2025,2024-09-22,2024-09-22,VAI,"Laboratory controls do not include the establishment of scientifically sound and appropriate specifications, standards, sampling plans, and test procedures under 21 CFR 211.160(b).","Computer system used for batch release decisions was not validated per 21 CFR 11.10. No validation documentation available.",
9980546,"Baxter Healthcare Corp","658 Industrial Blvd",Boston,GA,95148,China,Los Angeles,CBER,2022,2025-08-12,2025-08-12,NAI,,,
6088643,"Wockhardt Ltd","798 Industrial Blvd",Miami,NC,57335,Germany,Florida/Caribbean,Animal Drugs,2025,2024-09-07,2024-09-07,NAI,,,
8349621,"Abbott Laboratories","850 Industrial Blvd",Boston,TX,61044,United States,San Francisco,OTC Drugs,2022,2025-04-01,2025-04-01,OAI,"Written procedures describing the quality control unit responsibilities and procedures are not followed as required by 21 CFR 211.22(d).","Facility design and construction does not prevent contamination of drug product per 21 CFR 211.42(b). HVAC differential pressure monitoring records absent.","Equipment used in the manufacture of drug products is not maintained, cleaned, and sanitized at appropriate intervals per 21 CFR 211.67(a)."
5379459,"Baxter Healthcare Corp","337 Industrial Blvd",San Diego,IN,59130,Ireland,Mid-Atlantic,Biologics,2025,2023-10-27,2023-10-27,NAI,,,
2918184,"Hikma Pharmaceuticals USA","667 Industrial Blvd",Seattle,NY,74223,Italy,Southeast,Biologics,2025,2022-07-08,2022-07-08,OAI,"Written procedures describing the quality control unit responsibilities and procedures are not followed as required by 21 CFR 211.22(d).","Backup and disaster recovery procedures for critical computer systems have not been tested within the required frequency.","Equipment qualification (IQ/OQ/PQ) is not performed for new manufacturing equipment prior to use."
6144844,"Dr Reddy Laboratories Ltd","514 Industrial Blvd",Atlanta,TX,62432,India,Denver,Animal Drugs,2024,2025-05-03,2025-05-03,VAI,"Change control system does not require impact assessment for changes to validated processes or analytical methods.",,
5062594,"Novartis Pharmaceuticals Corp","937 Industrial Blvd",Boston,NC,14658,Germany,Mid-Atlantic,Biologics,2023,2023-01-23,2023-01-23,NAI,,,
1998886,"Novartis Pharmaceuticals Corp","712 Industrial Blvd",Chicago,NY,53630,Ireland,Los Angeles,Medical Devices,2024,2023-02-09,2023-02-09,OAI,"Equipment used in the manufacture of drug products is not maintained, cleaned, and sanitized at appropriate intervals per 21 CFR 211.67(a).","Stability testing program does not include testing at appropriate intervals as required by 21 CFR 211.166(a).","Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls."
2190471,"Hikma Pharmaceuticals USA","932 Industrial Blvd",Miami,NY,69153,China,New England,Medical Devices,2023,2024-05-30,2024-05-30,VAI,"Batch records do not document complete reconciliation of yields at each appropriate phase of processing per 21 CFR 211.188(b)(11).",,
5803340,"Alkem Laboratories Ltd","267 Industrial Blvd",Dallas,WI,64819,Japan,Los Angeles,Medical Devices,2023,2024-09-07,2024-09-07,NAI,,,
5456627,"Merck Sharp & Dohme Corp","628 Industrial Blvd",Seattle,IL,73300,Japan,Dallas,Veterinary,2024,2022-05-30,2022-05-30,NAI,,,
1029895,"Lupin Ltd","993 Industrial Blvd",Denver,MN,56648,Italy,New York/New Jersey,CBER,2022,2025-04-08,2025-04-08,VAI,"Audit trail review procedures are inadequate. Changes to critical data parameters not captured with time-stamped records.",,
2070812,"Wockhardt Ltd","394 Industrial Blvd",Boston,NY,33332,Switzerland,Los Angeles,Veterinary,2024,2023-02-22,2023-02-22,VAI,"Environmental monitoring program does not adequately cover all critical and controlled areas. Alert and action limits not established.","Facility design and construction does not prevent contamination of drug product per 21 CFR 211.42(b). HVAC differential pressure monitoring records absent.","Equipment qualification (IQ/OQ/PQ) is not performed for new manufacturing equipment prior to use."
6978277,"Cipla Ltd","343 Industrial Blvd",Miami,WI,67963,Switzerland,Kansas City,Animal Drugs,2024,2026-11-15,2026-11-15,NAI,,,
7887189,"Pfizer Manufacturing LLC","312 Industrial Blvd",Chicago,IL,47308,China,Pacific,CDRH,2022,2023-07-25,2023-07-25,VAI,"Out-of-specification (OOS) investigation procedures are inadequate. Root cause analysis incomplete for 3 of 7 OOS investigations reviewed.","Audit trail review procedures are inadequate. Changes to critical data parameters not captured with time-stamped records.","Change control system does not require impact assessment for changes to validated processes or analytical methods."
9685813,"Aurobindo Pharma Ltd","104 Industrial Blvd",Seattle,WI,59682,Ireland,Pacific,OTC Drugs,2023,2023-05-11,2023-05-11,VAI,"Audit trail review procedures are inadequate. Changes to critical data parameters not captured with time-stamped records.",,
8099576,"Baxter Healthcare Corp","416 Industrial Blvd",Boston,NY,47626,Japan,New England,CFSAN,2025,2022-09-09,2022-09-09,VAI,"Computer system used for batch release decisions was not validated per 21 CFR 11.10. No validation documentation available.",,
8361949,"Dr Reddy Laboratories Ltd","228 Industrial Blvd",Boston,IL,99105,Switzerland,Los Angeles,CBER,2025,2022-08-01,2022-08-01,NAI,,,
2238329,"Dr Reddy Laboratories Ltd","295 Industrial Blvd",Philadelphia,IL,89223,Germany,Mid-Atlantic,API,2023,2024-05-08,2024-05-08,NAI,,,
3735510,"Dr Reddy Laboratories Ltd","352 Industrial Blvd",Boston,IN,68608,Ireland,Los Angeles,Medical Devices,2025,2025-11-19,2025-11-19,VAI,"CAPA procedures lack effectiveness checks and defined timelines for corrective action implementation.","Written procedures describing the quality control unit responsibilities and procedures are not followed as required by 21 CFR 211.22(d).","Written procedures are not followed for in-process testing and controls as required under 21 CFR 211.110(a)."
8471950,"Teva API India Ltd","728 Industrial Blvd",Boston,PA,53508,United Kingdom,Minneapolis/St Paul,Biologics,2022,2026-07-20,2026-07-20,NAI,,,
9708816,"Lupin Ltd","457 Industrial Blvd",Dallas,WI,38138,India,Florida/Caribbean,Veterinary,2023,2024-01-08,2024-01-08,VAI,"Environmental monitoring program does not adequately cover all critical and controlled areas. Alert and action limits not established.","Audit trail review procedures are inadequate. Changes to critical data parameters not captured with time-stamped records.","Out-of-specification (OOS) investigation procedures are inadequate. Root cause analysis incomplete for 3 of 7 OOS investigations reviewed."
8681875,"Aurobindo Pharma Ltd","359 Industrial Blvd",Boston,IL,99581,United States,Los Angeles,CFSAN,2025,2025-08-01,2025-08-01,NAI,,,
5452616,"Johnson & Johnson Inc","925 Industrial Blvd",Atlanta,NY,62352,Japan,Southeast,Drugs,2025,2022-12-08,2022-12-08,VAI,"Computer system used for batch release decisions was not validated per 21 CFR 11.10. No validation documentation available.","Electronic records subject to 21 CFR Part 11 were not validated. User access permissions allow modification without traceable documentation.",
4268538,"Pfizer Manufacturing LLC","780 Industrial Blvd",Boston,IL,98054,Germany,Dallas,Drugs,2022,2024-01-04,2024-01-04,VAI,"Stability testing program does not include testing at appropriate intervals as required by 21 CFR 211.166(a).","Environmental monitoring program does not adequately cover all critical and controlled areas. Alert and action limits not established.",
6535482,"Wockhardt Ltd","279 Industrial Blvd",Philadelphia,NC,37535,Switzerland,New England,Medical Devices,2023,2022-07-06,2022-07-06,VAI,"Change control system does not require impact assessment for changes to validated processes or analytical methods.",,
5816607,"Hikma Pharmaceuticals USA","724 Industrial Blvd",Miami,WI,92195,Canada,New York/New Jersey,OTC Drugs,2025,2024-04-19,2024-04-19,NAI,,,
8660180,"Hikma Pharmaceuticals USA","884 Industrial Blvd",Denver,IL,76185,Canada,Minneapolis/St Paul,API,2022,2022-05-16,2022-05-16,NAI,,,
6551450,"Glenmark Pharmaceuticals Ltd","321 Industrial Blvd",Dallas,IN,34829,Italy,Denver,Drugs,2025,2022-06-06,2022-06-06,NAI,,,
6737917,"Glenmark Pharmaceuticals Ltd","349 Industrial Blvd",Denver,IL,46464,United States,Mid-Atlantic,Medical Devices,2022,2024-02-13,2024-02-13,NAI,,,
7535286,"Lupin Ltd","401 Industrial Blvd",Miami,GA,42109,Canada,New York/New Jersey,Veterinary,2024,2023-06-01,2023-06-01,NAI,,,
7725536,"Lilly USA LLC","366 Industrial Blvd",Seattle,OH,93164,Ireland,Minneapolis/St Paul,Medical Devices,2022,2024-12-02,2024-12-02,NAI,,,
1487040,"Lilly USA LLC","151 Industrial Blvd",Atlanta,WI,70750,China,Dallas,Animal Drugs,2025,2024-01-03,2024-01-03,NAI,,,
8014887,"Aurobindo Pharma Ltd","564 Industrial Blvd",Miami,CA,76582,Germany,New York/New Jersey,Biologics,2023,2024-11-25,2024-11-25,NAI,,,
8008408,"Lilly USA LLC","553 Industrial Blvd",Miami,IL,72699,United Kingdom,Chicago,Drugs,2022,2024-08-10,2024-08-10,VAI,"Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls.","Facility design and construction does not prevent contamination of drug product per 21 CFR 211.42(b). HVAC differential pressure monitoring records absent.",
8817957,"Abbott Laboratories","422 Industrial Blvd",Seattle,NC,67002,China,Florida/Caribbean,CFSAN,2024,2023-06-16,2023-06-16,NAI,,,
5920531,"Hikma Pharmaceuticals USA","520 Industrial Blvd",Denver,TX,55091,United Kingdom,Minneapolis/St Paul,Biologics,2022,2024-08-18,2024-08-18,NAI,,,
4618817,"Aurobindo Pharma Ltd","700 Industrial Blvd",San Diego,NJ,74397,United Kingdom,Denver,API,2024,2026-10-10,2026-10-10,VAI,"Equipment qualification (IQ/OQ/PQ) is not performed for new manufacturing equipment prior to use.",,
2238574,"Sun Pharma Industries Ltd","625 Industrial Blvd",Dallas,TX,88480,Germany,Los Angeles,Animal Drugs,2022,2024-03-17,2024-03-17,VAI,"Electronic records subject to 21 CFR Part 11 were not validated. User access permissions allow modification without traceable documentation.","Batch records do not document complete reconciliation of yields at each appropriate phase of processing per 21 CFR 211.188(b)(11).","Facility design and construction does not prevent contamination of drug product per 21 CFR 211.42(b). HVAC differential pressure monitoring records absent."
2733525,"Mylan Laboratories Ltd","107 Industrial Blvd",Miami,PA,29879,Ireland,New England,OTC Drugs,2024,2023-07-16,2023-07-16,NAI,,,
5029551,"Abbott Laboratories","319 Industrial Blvd",Dallas,NY,13425,United Kingdom,San Francisco,Medical Devices,2024,2023-07-26,2023-07-26,VAI,"Equipment used in the manufacture of drug products is not maintained, cleaned, and sanitized at appropriate intervals per 21 CFR 211.67(a).","Batch records do not document complete reconciliation of yields at each appropriate phase of processing per 21 CFR 211.188(b)(11).",
3039607,"Cadila Healthcare Ltd","523 Industrial Blvd",Seattle,TX,76772,China,Dallas,CFSAN,2023,2025-02-12,2025-02-12,NAI,,,
1819328,"Aurobindo Pharma Ltd","452 Industrial Blvd",Denver,NY,86843,Ireland,New York/New Jersey,Medical Devices,2023,2025-12-26,2025-12-26,NAI,,,
8121455,"Novartis Pharmaceuticals Corp","237 Industrial Blvd",Atlanta,PA,37178,United Kingdom,Dallas,CDRH,2023,2026-02-05,2026-02-05,NAI,,,
1653971,"Baxter Healthcare Corp","110 Industrial Blvd",Chicago,OH,14674,Switzerland,San Francisco,CDRH,2025,2026-03-15,2026-03-15,VAI,"Electronic records subject to 21 CFR Part 11 were not validated. User access permissions allow modification without traceable documentation.","Equipment qualification (IQ/OQ/PQ) is not performed for new manufacturing equipment prior to use.",
5124218,"Cipla Ltd","116 Industrial Blvd",Chicago,MA,27167,Ireland,Los Angeles,CFSAN,2023,2022-05-08,2022-05-08,NAI,,,
4035667,"Novartis Pharmaceuticals Corp","796 Industrial Blvd",Denver,IN,45079,Germany,Dallas,CBER,2023,2025-07-11,2025-07-11,NAI,,,
